,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
1,Shizilu,1515526071,CN,21.7,109.38,49.11,89,92,11.56
2,Basco,1515525300,US,40.33,-91.2,37.4,98,1,8.05
3,Kormilovka,1515524400,RU,55.0,74.1,12.2,78,0,13.42
4,Nanyamba,1515526072,MZ,-10.69,39.81,72.56,94,56,5.41
5,Port Macquarie,1515524400,AU,-31.43,152.91,68.0,100,75,4.7
6,Karasburg,1515526073,NA,-28.01,18.75,79.71,12,0,6.08
7,Aklavik,1515524400,CA,68.22,-135.01,-22.01,67,5,4.7
8,Maniitsoq,1515526074,GL,65.42,-52.9,10.68,100,0,4.52
9,Grand Gaube,1515524400,MU,-20.01,57.66,78.8,94,75,4.7
10,Umm Lajj,1515526076,SA,25.02,37.27,62.57,93,0,6.64
11,jatara,1515526076,IN,25.01,79.05,50.28,86,0,2.39
12,Samana,1515524400,EC,0.12,-76.97,82.4,78,75,3.36
13,Hermosillo,1515523200,MX,29.09,-110.96,78.8,27,75,4.52
14,Ballitoville,1515526078,ZA,-29.54,31.21,66.62,81,92,10.22
15,Souillac,1515524400,FR,45.6,-0.6,46.4,65,0,10.29
16,Noyabrsk,1515526079,RU,63.2,75.45,10.1,80,76,17.72
17,Changli,1515526079,CN,30.54,105.42,33.77,76,64,5.19
18,Ayan,1515526080,TR,40.67,33.6,23.82,85,8,1.95
19,Lompoc,1515524580,US,34.64,-120.46,59.0,87,75,8.05
20,Urubicha,1515526081,BO,-15.63,-63.08,83.49,82,24,3.51
21,Luyang,1515520800,CN,31.88,117.26,33.8,47,0,11.18
22,Marsh Harbour,1515525988,BS,26.54,-77.06,70.89,100,92,18.05
23,Floro,1515523800,NO,61.6,5.03,46.4,36,0,26.4
24,Aswan,1515524400,EG,24.09,32.9,68.0,22,0,8.05
25,Port Augusta,1515524400,AU,-32.49,137.76,66.2,63,44,5.82
26,San Juan de Uraba,1515526084,CO,8.76,-76.53,81.87,100,20,8.66
27,Labuhan,1515526084,ID,-2.54,115.51,71.34,97,12,0.49
28,Mariestad,1515523800,SE,58.71,13.82,24.8,79,90,6.08
29,Lorengau,1515526085,PG,-2.02,147.27,84.35,99,92,5.19
30,Owando,1515526086,CG,-0.49,15.91,81.11,66,12,3.62
31,Coxim,1515526086,BR,-18.5,-54.75,76.74,89,92,6.98
32,Camacha,1515524400,PT,33.08,-16.33,64.4,88,20,10.29
33,Paamiut,1515526087,GL,61.99,-49.67,27.29,100,12,23.2
34,Rio Grande,1515524400,BR,-32.03,-52.1,82.4,61,40,25.28
35,Surt,1515526088,LY,31.21,16.59,68.24,64,88,15.14
36,Vila Velha,1515524400,BR,-3.71,-38.6,84.2,70,40,11.41
37,Nelson Bay,1515524520,AU,-32.72,152.14,69.8,94,75,12.75
38,San Jose de Guanipa,1515526090,VE,8.89,-64.17,91.41,33,8,11.68
39,Ixtapa,1515523620,MX,20.71,-105.21,77.0,61,5,4.7
40,Codajas,1515526091,BR,-3.84,-62.06,84.93,75,88,5.19
41,Port Blair,1515526091,IN,11.67,92.75,82.14,100,0,6.2
42,Dzerzhinsk,1515524400,RU,56.24,43.46,23.0,79,90,8.95
43,San Patricio,1515526092,PY,-26.98,-56.83,91.77,53,0,4.97
44,Klyuchevskiy,1515526093,RU,53.53,119.45,-13.22,57,0,6.2
45,Tyup,1515526094,KG,42.73,78.36,-3.86,59,0,2.39
46,Kosum Phisai,1515520800,TH,16.25,103.07,68.0,64,75,8.05
47,Shitanjing,1515526095,CN,39.23,106.34,-9.12,56,0,3.4
48,Sabha,1515526096,LY,27.03,14.43,64.59,26,32,8.21
49,Talnakh,1515526096,RU,69.49,88.39,-21.95,32,0,3.62
50,Santiago,1515524400,CL,-33.44,-70.65,86.0,30,20,9.17
51,Baherden,1515526097,TM,38.44,57.43,31.38,87,8,2.39
52,Cabo San Lucas,1515523680,MX,22.89,-109.91,84.2,41,40,8.05
53,Kiunga,1515526098,PG,-6.12,141.3,72.78,98,80,2.17
54,Rabaul,1515526098,PG,-4.2,152.17,78.05,100,44,2.17
55,Lyuban,1515526099,BY,52.8,28.0,29.04,94,80,6.42
56,Salina Cruz,1515526099,MX,16.18,-95.2,79.71,47,0,17.16
57,Mitsamiouli,1515520800,KM,-11.38,43.28,82.4,83,40,8.05
58,Chhatak,1515526101,BD,25.03,91.67,45.56,87,0,3.06
59,Mahdalynivka,1515522600,UA,48.92,34.92,26.6,79,0,9.44
60,Nandu,1515520800,CN,31.44,119.33,35.6,51,0,8.95
61,Santa Rosa,1515525904,AR,-36.62,-64.29,97.94,23,12,15.7
62,Mandapam,1515526106,IN,9.28,79.12,76.47,100,92,22.08
63,Tilichiki,1515526106,RU,60.47,166.1,1.77,87,64,3.4
64,Boa Vista,1515524400,BR,2.82,-60.67,93.2,41,40,9.17
65,Iberia,1515526109,PE,-11.41,-69.49,93.03,45,0,2.95
66,Ellwangen,1515523800,DE,47.98,9.94,41.0,86,0,3.36
67,Olinda,1515524400,EC,-2.03,-79.75,89.6,38,40,5.82
68,Bull Savanna,1515526110,JM,17.89,-77.59,75.66,88,88,7.09
69,Sumbe,1515526110,AO,-11.2,13.84,77.24,94,12,9.78
70,Buciumi,1515524400,RO,46.2,26.78,32.0,85,0,9.17
71,Kawalu,1515526111,ID,-7.38,108.21,65.13,98,64,1.72
72,Manggar,1515526112,ID,-2.88,108.27,74.04,100,20,2.95
73,Srednyaya Yelyuzan,1515526113,RU,53.02,45.95,18.06,84,64,13.8
74,Zhezkazgan,1515526114,KZ,47.8,67.71,24.54,91,88,14.7
75,Shahrud,1515526114,IR,36.42,54.97,15.81,67,8,4.52
76,Vaini,1515526115,IN,15.34,74.49,65.13,71,0,3.96
77,Provideniya,1515526115,RU,64.42,-173.23,20.76,100,0,27.11
78,Vilhena,1515524400,BR,-12.74,-60.15,73.4,94,75,5.82
79,Batticaloa,1515526116,LK,7.71,81.69,74.58,100,64,4.07
80,Senneterre,1515524400,CA,48.39,-77.24,14.0,85,75,6.93
81,Ilinskiy,1515524400,RU,55.62,38.12,23.0,79,0,13.42
82,Khani,1515524400,GE,41.96,42.96,44.6,81,90,16.11
83,Bodden Town,1515524400,KY,19.28,-81.25,77.0,88,75,12.75
84,Matamba,1515526120,CD,-5.95,22.27,72.78,88,48,1.72
85,Puerto del Rosario,1515524400,ES,28.5,-13.86,66.2,77,75,3.36
86,Honningsvag,1515522000,NO,70.98,25.97,30.2,80,0,17.22
87,Truro,1515523800,GB,50.26,-5.05,50.0,93,40,4.7
88,Itarema,1515526123,BR,-2.92,-39.92,83.45,82,56,10.0
89,Hualmay,1515526123,PE,-11.1,-77.61,74.94,72,32,4.97
90,Mount Gambier,1515526124,AU,-37.83,140.78,49.61,89,8,2.39
91,Coos Bay,1515524160,US,43.37,-124.22,48.2,87,90,11.41
92,Jalu,1515526124,LY,29.03,21.55,58.34,45,20,8.55
93,Bozdar,1515524400,PK,27.18,68.64,53.6,76,0,4.97
94,Talara,1515524400,PE,-4.58,-81.27,80.6,69,0,12.75
95,Zalantun,1515526126,CN,48.0,122.72,-2.69,59,36,6.42
96,Thompson,1515524400,CA,55.74,-97.86,-5.81,70,90,8.05
97,Geraldton,1515524400,CA,49.72,-86.95,15.8,72,75,11.41
98,Tiksi,1515526128,RU,71.64,128.87,-31.13,0,48,3.4
99,Bredasdorp,1515524400,ZA,-34.53,20.04,60.8,63,0,4.7
100,Saint-Georges,1515526129,CA,46.12,-70.67,23.01,60,76,10.78
101,Sibu,1515520800,MY,2.29,111.83,73.4,100,75,5.82
102,Aykhal,1515526130,RU,65.95,111.51,-20.01,27,44,6.64
103,Jabinyanah,1515524400,TN,35.03,10.91,60.8,44,40,9.17
104,Nha Trang,1515526131,VN,12.24,109.19,71.61,100,80,17.16
105,Manokwari,1515526132,ID,-0.87,134.08,81.51,100,20,2.95
106,Alyangula,1515526133,AU,-13.85,136.42,80.66,100,24,4.18
107,Beterou,1515526133,BJ,9.2,2.26,82.01,28,0,6.08
108,Okhotsk,1515526134,RU,59.36,143.24,-19.61,100,0,9.78
109,Leh,1515526134,IN,34.16,77.58,-42.38,0,0,1.39
110,Sur,1515526135,OM,22.57,59.53,67.07,100,12,7.65
111,Seymchan,1515526135,RU,62.93,152.39,-34.82,0,20,2.51
112,Rocha,1515526137,UY,-34.48,-54.34,90.87,32,0,16.04
113,Saint-Malo,1515524400,FR,48.65,-2.02,50.0,93,75,11.41
114,Trencin,1515524400,SK,48.89,18.04,46.4,70,75,6.93
115,Nchelenge,1515526139,ZM,-9.35,28.74,73.01,74,20,5.53
116,Caramay,1515526140,PH,10.18,119.24,80.21,100,12,17.05
117,Chingirlau,1515526141,KZ,51.09,54.08,14.91,87,80,4.18
118,Sikasso,1515526142,ML,11.32,-5.68,84.03,25,0,10.56
119,Muli,1515526142,IN,22.62,71.45,60.27,65,0,4.74
120,Suntar,1515526143,RU,62.16,117.65,-23.3,34,12,7.54
121,Minbu,1515526143,MM,20.18,94.88,61.85,94,0,4.18
122,Adiake,1515524400,CI,5.29,-3.3,80.6,88,40,5.82
123,Contamana,1515526145,PE,-7.35,-75.01,85.29,70,12,2.95
124,Weligama,1515526145,LK,5.97,80.42,76.29,98,76,3.51
125,Cachoeira do Sul,1515526146,BR,-30.05,-52.89,84.44,67,0,13.8
126,San Francisco,1515524400,US,37.78,-122.42,59.0,87,90,10.29
127,Russell,1515520800,AR,-33.01,-68.8,87.8,33,40,5.82
128,Amambai,1515526027,BR,-23.11,-55.23,71.61,98,92,10.45
129,Port Hawkesbury,1515526149,CA,45.62,-61.36,34.17,92,80,10.0
130,Msanga,1515526150,TZ,-6.04,36.03,68.01,80,56,4.41
131,Yulin,1515526150,CN,38.3,109.75,5.24,75,0,12.68
132,Bekhtery,1515526151,UA,46.25,32.3,25.76,100,0,3.62
133,Kahului,1515524160,US,20.89,-156.47,73.4,77,1,5.64
134,Ola,1515524400,RU,59.58,151.3,-22.01,74,64,14.25
135,Chernaya Kholunitsa,1515526153,RU,58.85,51.72,21.44,85,76,13.13
136,Zatoka,1515524400,PL,50.04,20.52,33.8,80,0,9.17
137,Gagnoa,1515526155,CI,6.13,-5.95,78.59,77,36,2.17
138,Palivere,1515526155,EE,58.97,23.89,33.32,95,76,3.74
139,Houma,1515526156,CN,35.63,111.36,12.71,56,0,7.09
140,Bougouni,1515526156,ML,11.42,-7.49,85.92,25,0,11.79
141,Chenzhou,1515526157,CN,25.81,113.03,20.94,75,0,2.51
142,Baykit,1515526157,RU,61.68,96.39,-15.38,65,68,3.74
143,Noumea,1515524400,NC,-22.28,166.46,66.2,72,0,8.1
144,Gwadar,1515526159,PK,25.12,62.33,64.77,82,0,8.55
145,El Alto,1515524400,BO,-16.5,-68.19,50.0,71,75,6.93
146,Boende,1515526160,CD,-0.28,20.88,83.54,61,24,1.39
147,Birin,1515526160,SY,35.01,36.67,46.14,95,0,8.66
148,Mahibadhoo,1515526161,MV,3.78,72.97,81.65,100,48,16.26
149,Moerai,1515526161,PF,-22.43,-151.33,75.89,100,92,19.51
150,Loding,1515523800,DE,48.05,12.68,48.2,66,0,10.29
151,Khajuraho,1515526165,IN,24.85,79.93,43.08,80,0,2.51
152,Patillas,1515524160,PR,18.01,-66.01,84.2,58,40,13.87
153,Brae,1515523800,GB,60.4,-1.35,42.8,87,75,32.21
154,Iquique,1515524400,CL,-20.22,-70.14,73.4,69,0,17.22
155,Cottonwood,1515524220,US,34.74,-112.01,64.4,31,90,16.11
156,Bilibino,1515526169,RU,68.06,166.44,-11.19,71,92,2.39
157,Port Lincoln,1515526170,AU,-34.72,135.86,63.06,96,92,9.22
158,Qostanay,1515524400,KZ,53.17,63.58,3.2,91,0,8.95
159,Mambolo,1515520800,SL,8.92,-13.04,84.2,74,0,10.29
160,Bandar-e Lengeh,1515520800,IR,26.56,54.88,62.6,45,0,4.7
161,Francistown,1515524400,BW,-21.17,27.5,78.8,50,0,5.82
162,North Bend,1515524160,US,43.41,-124.22,48.2,87,90,11.41
163,Rawson,1515526173,AR,-43.3,-65.11,83.36,37,0,8.99
164,Deniliquin,1515526173,AU,-35.53,144.96,56.09,52,0,8.1
165,At-Bashi,1515526174,KG,41.17,75.81,-9.26,51,0,2.06
166,Bossier City,1515525300,US,32.52,-93.73,50.0,81,90,3.36
167,Faanui,1515526176,PF,-16.48,-151.75,81.29,100,0,6.64
168,Kijang,1515520800,KR,35.24,129.21,32.0,74,0,5.82
169,Guiratinga,1515526177,BR,-16.35,-53.76,79.08,87,80,9.22
170,Saint-Paul,1515524400,FR,45.22,1.9,41.0,93,0,4.7
171,Hammerfest,1515523800,NO,70.66,23.68,35.6,92,90,3.36
172,Cartagena,1515524400,ES,37.63,-1.0,50.0,81,0,3.36
173,San Andres,1515526180,PH,13.32,122.68,79.44,100,64,13.8
174,Barabinsk,1515526180,RU,55.35,78.35,13.07,83,68,14.7
175,Sechura,1515526181,PE,-5.56,-80.82,76.07,70,0,8.21
176,Saint-Leu,1515524400,RE,-21.15,55.28,80.6,74,20,5.82
177,Marsa Matruh,1515524400,EG,31.35,27.25,59.0,77,0,5.82
178,Ribeira Grande,1515524400,PT,38.52,-28.7,60.8,63,40,26.4
179,Paramonga,1515526183,PE,-10.68,-77.82,68.24,97,20,7.65
180,Pacific Grove,1515525000,US,36.62,-121.92,55.4,100,90,5.82
181,Los Llanos de Aridane,1515524400,ES,28.66,-17.92,68.0,77,75,1.12
182,Flinders,1515520800,AU,-34.58,150.85,64.4,82,90,7.65
183,Cockburn Town,1515526185,TC,21.46,-71.14,79.62,96,64,17.49
184,Elat,1515526185,CM,2.91,11.16,74.67,74,8,2.06
185,Soto la Marina,1515526186,MX,23.77,-98.21,70.4,48,0,2.95
186,Ahipara,1515526187,NZ,-35.17,173.16,60.32,100,20,3.51
187,Acapulco,1515523440,MX,16.86,-99.88,84.2,66,5,5.82
188,Crestview,1515524280,US,30.76,-86.57,66.2,88,90,4.7
189,Karaton,1515524400,ID,-6.34,106.1,77.0,88,40,3.36
190,Sidrolandia,1515524400,BR,-20.93,-54.96,77.0,73,75,11.41
191,Miri,1515526190,NG,10.31,9.75,70.31,30,0,5.53
192,Aracati,1515526190,BR,-4.56,-37.77,84.89,71,48,11.56
193,Roald,1515523800,NO,62.58,6.12,44.6,39,0,12.75
194,Waddan,1515526191,LY,29.16,16.14,60.99,36,68,6.64
195,Neuquen,1515524400,AR,-38.95,-68.06,95.0,36,0,8.05
196,Setermoen,1515523800,NO,68.86,18.35,33.8,97,75,3.51
197,Longyearbyen,1515523800,NO,78.22,15.63,24.8,68,75,13.87
198,Norman Wells,1515524400,CA,65.28,-126.83,-38.21,65,20,4.41
199,Ilulissat,1515523800,GL,69.22,-51.1,12.2,47,5,2.24
200,Bambanglipuro,1515526195,ID,-7.95,110.28,72.2,100,80,3.06
201,Kem,1515526195,UG,2.68,33.77,78.27,28,92,3.06
202,Saldanha,1515526196,PT,41.42,-6.55,42.32,97,92,12.24
203,Forio,1515524100,IT,40.73,13.86,60.8,93,75,7.43
204,San Luis,1515526149,AR,-33.3,-66.34,95.91,29,20,10.0
205,Ponta do Sol,1515526198,BR,-20.63,-46.0,81.06,70,0,7.54
206,Qandala,1515526199,SO,11.47,49.87,58.47,100,0,5.97
207,Point Fortin,1515520800,TT,10.16,-61.68,86.0,51,40,9.17
208,Luderitz,1515524400,NA,-26.65,15.16,62.6,67,0,18.34
209,Rio Gallegos,1515524400,AR,-51.62,-69.22,77.0,50,75,14.99
210,Abu Samrah,1515526201,SY,35.3,37.18,42.02,92,12,6.62
211,Port Elizabeth,1515524160,US,39.31,-74.98,44.6,56,20,10.29
212,Cabedelo,1515524400,BR,-6.97,-34.84,84.2,58,75,12.75
213,Yulara,1515520800,AU,-25.24,130.99,78.8,54,75,11.41
214,Westerland,1515524100,NL,52.89,4.93,42.8,93,90,6.93
215,Hay River,1515524400,CA,60.82,-115.79,-18.41,68,75,12.75
216,Ormara,1515526212,PK,25.21,64.64,66.91,92,0,4.27
217,Avera,1515524100,US,33.19,-82.53,69.8,55,90,4.7
218,Vila,1515524100,IT,45.18,8.4,48.2,100,90,3.36
219,Tabas,1515526214,IR,33.6,56.92,22.36,68,0,2.71
220,Dzaoudzi,1515524400,YT,-12.79,45.27,82.4,74,56,13.87
221,Ferme-Neuve,1515526044,CA,46.7,-75.45,20.58,63,68,9.55
222,Shingu,1515526216,JP,33.72,135.99,46.21,100,8,17.02
223,Mongar,1515526217,BT,27.28,91.24,44.72,72,0,2.37
224,Kautokeino,1515526217,NO,69.01,23.04,11.06,87,76,2.59
225,Ardesen,1515524400,TR,41.19,40.99,50.0,81,75,19.46
226,San Rafael,1515526220,AR,-34.61,-68.33,89.86,24,48,14.79
227,Tivaouane,1515526220,SN,14.95,-16.81,72.85,52,0,12.66
228,Pevek,1515526221,RU,69.7,170.27,0.98,93,80,3.83
229,Kaeo,1515526221,NZ,-35.1,173.78,71.95,64,32,4.05
230,Osorheiu,1515524400,RO,47.03,22.05,44.6,87,0,4.7
231,Goderich,1515526222,CA,43.74,-81.71,23.8,100,8,4.16
232,Chake Chake,1515526224,TZ,-5.25,39.77,81.85,95,48,18.14
233,Bubaque,1515524400,GW,11.28,-15.83,86.0,27,0,4.7
234,Ambon,1515524400,FR,47.55,-2.56,50.0,93,44,13.87
235,Pushkinskiye Gory,1515526226,RU,57.02,28.91,31.27,94,88,10.42
236,East London,1515520800,ZA,-33.02,27.91,62.6,88,20,8.05
237,Shelburne,1515524400,CA,44.08,-80.2,30.2,74,90,5.82
238,Jiazi,1515524400,CN,19.61,110.49,55.4,76,90,13.42
239,Saint-Paul-les-Dax,1515524400,FR,43.73,-1.05,50.0,57,90,9.17
240,Slantsy,1515526229,RU,59.12,28.09,29.74,92,24,4.94
241,Tecoanapa,1515523440,MX,16.99,-99.26,84.2,66,5,5.82
242,Comodoro Rivadavia,1515524400,AR,-45.87,-67.48,82.4,32,0,13.87
243,Avarua,1515524400,CK,-21.21,-159.78,80.6,88,75,18.34
244,Amberley,1515524400,NZ,-43.15,172.73,59.0,100,88,13.87
245,Chabahar,1515526232,IR,25.29,60.65,65.24,100,36,7.18
246,Dali,1515526232,CN,25.6,100.24,33.38,100,0,1.81
247,Kiboga,1515526233,UG,0.92,31.77,63.76,66,0,3.71
248,Vuktyl,1515526233,RU,63.86,57.31,11.29,75,80,3.15
249,Riohacha,1515524400,CO,11.54,-72.91,91.4,41,40,12.75
